Combined_Key,Last_Update,Confirmed,Deaths
"Zhejiang, China",2022-04-21 04:20:46,2947,1
"Amazonas, Colombia",2022-04-21 04:20:46,7571,265
"Antioquia, Colombia",2022-04-21 04:20:46,918335,18255
"Arauca, Colombia",2022-04-21 04:20:46,16316,533
"Atlantico, Colombia",2022-04-21 04:20:46,402313,10128
"Bolivar, Colombia",2022-04-21 04:20:46,197270,3241
"Boyaca, Colombia",2022-04-21 04:20:46,125207,2782
"Caldas, Colombia",2022-04-21 04:20:46,116926,2525
"Capital District, Colombia",2022-04-21 04:20:46,1768277,29359
"Caqueta, Colombia",2022-04-21 04:20:46,24983,1026
"Casanare, Colombia",2022-04-21 04:20:46,41681,1002
"Cauca, Colombia",2022-04-21 04:20:46,72263,1792
"Cesar, Colombia",2022-04-21 04:20:46,106509,2672
"Choco, Colombia",2022-04-21 04:20:46,18586,429
"Cordoba, Colombia",2022-04-21 04:20:46,119056,3931
"Cundinamarca, Colombia",2022-04-21 04:20:46,318216,7283
"Guainia, Colombia",2022-04-21 04:20:46,2765,37
"Guaviare, Colombia",2022-04-21 04:20:46,5589,105
"Huila, Colombia",2022-04-21 04:20:46,100335,3514
"La Guajira, Colombia",2022-04-21 04:20:46,56341,1529
"Magdalena, Colombia",2022-04-21 04:20:46,114921,3621
"Meta, Colombia",2022-04-21 04:20:46,105009,2540
"Narino, Colombia",2022-04-21 04:20:46,104404,3315
"Norte de Santander, Colombia",2022-04-21 04:20:46,119777,5101
"Putumayo, Colombia",2022-04-21 04:20:46,20499,775
"Quindio, Colombia",2022-04-21 04:20:46,70808,2055
"Risaralda, Colombia",2022-04-21 04:20:46,106376,2469
"San Andres y Providencia, Colombia",2022-04-21 04:20:46,10195,155
"Santander, Colombia",2022-04-21 04:20:46,283476,8169
"Sucre, Colombia",2022-04-21 04:20:46,65693,1715
"Tolima, Colombia",2022-04-21 04:20:46,124474,4007
"Unknown, Colombia",2022-04-21 04:20:46,0,300
"Valle del Cauca, Colombia",2022-04-21 04:20:46,540786,15042
"Vaupes, Colombia",2022-04-21 04:20:46,1889,22
"Vichada, Colombia",2022-04-21 04:20:46,3400,61
Comoros,2022-04-21 04:20:46,8103,160
Congo (Brazzaville),2022-04-21 04:20:46,24079,385
Congo (Kinshasa),2022-04-21 04:20:46,87023,1337
Costa Rica,2022-04-21 04:20:46,847784,8383
Cote d'Ivoire,2022-04-21 04:20:46,81870,799
Croatia,2022-04-21 04:20:46,1114141,15757
Cuba,2022-04-21 04:20:46,1100609,8522
Cyprus,2022-04-21 04:20:46,465787,993
Czechia,2022-04-21 04:20:46,3890336,40038
"Faroe Islands, Denmark",2022-04-21 04:20:46,34658,28
"Greenland, Denmark",2022-04-21 04:20:46,11971,21
Denmark,2022-04-21 04:20:46,3103988,6030
Diamond Princess,2022-04-21 04:20:46,712,13
Djibouti,2022-04-21 04:20:46,15598,189
Dominica,2022-04-21 04:20:46,11988,63
Dominican Republic,2022-04-21 04:20:46,578789,4375
Ecuador,2022-04-21 04:20:46,866925,35528
Egypt,2022-04-21 04:20:46,515645,24613
El Salvador,2022-04-21 04:20:46,162089,4126
Equatorial Guinea,2022-04-21 04:20:46,15907,183
Eritrea,2022-04-21 04:20:46,9733,103
Estonia,2022-04-21 04:20:46,568543,2526
Eswatini,2022-04-21 04:20:46,70144,1395
Ethiopia,2022-04-21 04:20:46,470352,7510
Fiji,2022-04-21 04:20:46,64524,862
Finland,2022-04-21 04:20:46,949583,3517
"French Guiana, France",2022-04-21 04:20:46,80035,394
"French Polynesia, France",2022-04-21 04:20:46,72621,648
"Guadeloupe, France",2022-04-21 04:20:46,145228,941
"Martinique, France",2022-04-21 04:20:46,149259,918
"Mayotte, France",2022-04-21 04:20:46,37038,187
"New Caledonia, France",2022-04-21 04:20:46,60593,312
"Reunion, France",2022-04-21 04:20:46,360445,731
"Saint Barthelemy, France",2022-04-21 04:20:46,4432,6
"Saint Pierre and Miquelon, France",2022-04-21 04:20:46,2537,1
"St Martin, France",2022-04-21 04:20:46,10279,63
"Wallis and Futuna, France",2022-04-21 04:20:46,454,7
France,2022-04-21 04:20:46,27239081,141443
Gabon,2022-04-21 04:20:46,47594,303
Gambia,2022-04-21 04:20:46,11995,365
Georgia,2022-04-21 04:20:46,1653692,16794
"Baden-Wurttemberg, Germany",2022-04-21 04:20:46,3374653,15591
"Bayern, Germany",2022-04-21 04:20:46,4485896,23238
"Berlin, Germany",2022-04-21 04:20:46,973585,4452
"Brandenburg, Germany",2022-04-21 04:20:46,741232,5514
"Bremen, Germany",2022-04-21 04:20:46,177521,739
"Hamburg, Germany",2022-04-21 04:20:46,512541,2489
"Hessen, Germany",2022-04-21 04:20:46,1646121,9811
"Mecklenburg-Vorpommern, Germany",2022-04-21 04:20:46,453613,2127
"Niedersachsen, Germany",2022-04-21 04:20:46,2024212,8514
"Nordrhein-Westfalen, Germany",2022-04-21 04:20:46,4757745,24406
"Rheinland-Pfalz, Germany",2022-04-21 04:20:46,1023881,5448
"Saarland, Germany",2022-04-21 04:20:46,288965,1608
"Sachsen, Germany",2022-04-21 04:20:46,1431204,15103
"Sachsen-Anhalt, Germany",2022-04-21 04:20:46,668872,5177
"Schleswig-Holstein, Germany",2022-04-21 04:20:46,610118,2395
"Thuringen, Germany",2022-04-21 04:20:46,674377,7020
"Unknown, Germany",2022-04-21 04:20:46,0,0
Ghana,2022-04-21 04:20:46,161117,1445
Greece,2022-04-21 04:20:46,3259613,28765
Grenada,2022-04-21 04:20:46,14287,219
Guatemala,2022-04-21 04:20:46,839416,17457
Guinea,2022-04-21 04:20:46,36540,441
Guinea-Bissau,2022-04-21 04:20:46,8184,171
Guyana,2022-04-21 04:20:46,63389,1228
Haiti,2022-04-21 04:20:46,30615,835
Holy See,2022-04-21 04:20:46,29,0
Honduras,2022-04-21 04:20:46,422275,10892
Hungary,2022-04-21 04:20:46,1885865,46000
Iceland,2022-04-21 04:20:46,183701,112
"Andaman and Nicobar Islands, India",2022-04-21 04:20:46,10034,129
"Andhra Pradesh, India",2022-04-21 04:20:46,2319652,14730
"Arunachal Pradesh, India",2022-04-21 04:20:46,64495,296
"Assam, India",2022-04-21 04:20:46,724204,6639
"Bihar, India",2022-04-21 04:20:46,830512,12256
"Chandigarh, India",2022-04-21 04:20:46,91970,1165
"Chhattisgarh, India",2022-04-21 04:20:46,1152225,14034
"Dadra and Nagar Haveli and Daman and Diu, India",2022-04-21 04:20:46,11441,4
"Delhi, India",2022-04-21 04:20:46,1870692,26161
"Goa, India",2022-04-21 04:20:46,245372,3832
"Gujarat, India",2022-04-21 04:20:46,1224195,10942
"Haryana, India",2022-04-21 04:20:46,987789,10618
"Himachal Pradesh, India",2022-04-21 04:20:46,284726,4134
"Jammu and Kashmir, India",2022-04-21 04:20:46,453956,4751
"Jharkhand, India",2022-04-21 04:20:46,435189,5315
"Karnataka, India",2022-04-21 04:20:46,3946545,40057
"Kerala, India",2022-04-21 04:20:46,6538204,68702
